38 Provinsi,,,,,,,,,,,,,
,Produksi Jagung Pipilan Kering Kadar Air 14 Persen Menurut Provinsi (Bulanan) (Ton),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,3216.48,4387.91,2463.53,3114.3,3243.12,5126.92,2913.08,3927.48,-,-,-,-,-
SUMATERA UTARA,171608.46,96581.47,75680.6,64413.33,86298.89,189260.44,158686.28,133694.79,-,-,-,-,-
SUMATERA BARAT,50233.22,46534.44,32411.86,34099.43,50498.19,55625.68,27912.33,37447.66,-,-,-,-,-
RIAU,326.87,124.76,59.48,68.41,220.38,222.53,139.72,378.3,-,-,-,-,-
JAMBI,1742.91,975.41,2165.68,1055.74,1934.35,1265.15,1728.9,1365.38,-,-,-,-,-
SUMATERA SELATAN,20649.58,25296.83,22621.32,15330.6,12575.71,20834.47,16857.19,38693.31,-,-,-,-,-
BENGKULU,8151.7,4246.48,3392.76,6064.56,5405.09,5781.94,4797.61,5592.71,-,-,-,-,-
LAMPUNG,90017.08,136458.51,149698.53,54962.71,79765.68,155798.74,149476.7,80350.42,-,-,-,-,-
KEP. BANGKA BELITUNG,113.39,0,0,0,1930.55,2485.38,75.58,9.92,-,-,-,-,-
KEP. RIAU,0,0.11,1.57,1.57,2.7,0,0.07,0.06,-,-,-,-,-
DKI JAKARTA,0,0,0,0,0,0,0,0,-,-,-,-,-
JAWA BARAT,70752.72,106578.57,128029.74,53657.17,39645.13,96853.87,105068.32,65157.46,-,-,-,-,-
JAWA TENGAH,353890.39,283130.07,127636.72,66595.77,183391.62,270033.52,164873.49,112459.86,-,-,-,-,-
DI YOGYAKARTA,21799.92,74059.9,5265.28,0,11474.04,29435.39,13398.3,14162.01,-,-,-,-,-
JAWA TIMUR,291587.35,682552.27,454204.88,175252.34,208754.95,466918.76,301186.99,229830.91,-,-,-,-,-
BANTEN,1844.75,1532.1,1010.97,1095.67,2520.86,711.35,1138.73,1599.1,-,-,-,-,-
BALI,1588.77,2481.13,8343.72,1613.32,576.41,1465.41,1425.14,1557.29,-,-,-,-,-
NUSA TENGGARA BARAT,20578.13,36276.49,164193.93,390101.58,157546.41,46796.54,45924.48,42735.93,-,-,-,-,-
NUSA TENGGARA TIMUR,7447.69,24559.32,82659.26,100796.5,19009.01,9902.3,22959.49,16398.84,-,-,-,-,-
KALIMANTAN BARAT,11472.2,11895.79,7272.23,6934.7,9962.96,14326.59,16767.42,14184.65,-,-,-,-,-
KALIMANTAN TENGAH,2801.39,4576.11,2700.68,2995.92,3624.13,1754.11,1125.91,1042.91,-,-,-,-,-
KALIMANTAN SELATAN,12726.27,38057.64,18049.08,3918.04,5668.67,19494.57,31097.85,17655.97,-,-,-,-,-
KALIMANTAN TIMUR,1048.33,671.29,879.73,822.89,932.52,934.87,753.78,1247.95,-,-,-,-,-
KALIMANTAN UTARA,573.42,425.55,8.65,51.67,144.43,411.85,397.32,221.83,-,-,-,-,-
SULAWESI UTARA,9152.2,12378.69,11453.26,14864.42,5920.57,6145.27,7572.96,9513.49,-,-,-,-,-
SULAWESI TENGAH,7885.04,7402.61,9473.62,6312,6492.7,6917.35,3989.22,4353.67,-,-,-,-,-
SULAWESI SELATAN,53821.35,172150.3,211014.07,125787.79,40372.75,97186.44,149878.15,129953.15,-,-,-,-,-
SULAWESI TENGGARA,4397.45,6387.87,6628.45,4477.64,6326.04,3864.47,3052.83,3270.88,-,-,-,-,-
GORONTALO,20823.67,77074.14,104050.9,133847.05,30447.93,25906.72,47435.09,53997.63,-,-,-,-,-
SULAWESI BARAT,2530.63,2337.96,1354.46,1556.68,2844.36,1260.27,946.47,1706.29,-,-,-,-,-
MALUKU,738.56,415.1,2099.66,348.99,870.28,294.7,1090.15,1154.06,-,-,-,-,-
MALUKU UTARA,579.21,791.97,302.3,229.05,425.6,441.55,822.91,591.5,-,-,-,-,-
PAPUA BARAT,84.47,163.84,15.34,201.2,205.64,282.04,67.09,124.5,-,-,-,-,-
PAPUA BARAT DAYA,278.43,233.84,227.66,360.49,264.82,164.88,166.07,217.01,-,-,-,-,-
PAPUA,26.51,214.06,349.7,38.58,457.92,357.48,137,106.2,-,-,-,-,-
PAPUA SELATAN,69.19,240.01,62.3,607.02,31.1,13.2,420.28,557.83,-,-,-,-,-
PAPUA TENGAH,653.7,374.35,211.08,612.33,356.87,141.55,98.72,135.76,-,-,-,-,-
PAPUA PEGUNUNGAN,0,0,0,0,49.77,0,26.12,3.39,-,-,-,-,-
INDONESIA,1245211.43,1861566.92,1635993.03,1272189.44,980192.16,1538416.28,1284407.75,1025400.12,-,-,-,-,-
